"year_study","branch_study","which_library_you_most_often","how_do_visit_library","what_your_primary_purpose_visiting_library","when_you_mostly_the_library","at_what_time_day_you_usually_the_library","where_you_feel_study_effectively","do_prefer_studying_in_library_alone_or_with_friends","how_helpful_are_library_books_resources_your_academic_performance","x_how_would_rate_physical_condition_the_library_seating_lighting_noise_levels_cleanliness","what_your_current_cgpa_range","what_the_major_difficulty_faced_by_in_library","x_overall_how_satisfied_are_with_library_facilities_and_resources"
"3rd","CSE","Digital","Rarely","Self-study","During final exams","Evening","In my hostel/room","Alone","I don’t use library books","Good","7.0 – 8.0","Limited availability of books, Outdated  material/resources, Difficulty in searching books","Neutral"
"3rd","CSE","Digital","Daily","Self-study","Regular semester days","No fixed time","In my hostel/room","With friends/group","Not helpful","Poor","7.0 – 8.0","Limited availability of books, Lack of seating space, Outdated  material/resources, Difficulty in searching books, Poor network access","Dissatisfied"
"3rd","CSE","Digital","Rarely","Self-study","During final exams","No fixed time","In my hostel/room","Alone","Somewhat helpful","Good","7.0 – 8.0","No difficulty","Satisfied"
"3rd","CSE","Digital","2-3 times a week","Self-study","Both mid term and final exams","No fixed time","In the library","Alone","I don’t use library books","Good","6.0 – 7.0","Lack of seating space","Satisfied"
"3rd","CSE","Digital","Rarely","Self-study","During mid-term exams","Afternoon","In my hostel/room","Both, depending on situation","Somewhat helpful","Excellent","7.0 – 8.0","Lack of seating space, Poor network access","Satisfied"
"3rd","CSE","Digital","Never","Self-study","Both mid term and final exams","No fixed time","No fixed preference","Both, depending on situation","I don’t use library books","Good","9.0 – 10.0","Poor network access, No difficulty","Satisfied"
"3rd","ECE","Digital","2-3 times a week","Self-study","Regular semester days","Afternoon","In the library","Both, depending on situation","Somewhat helpful","Good","8.0 – 9.0","Outdated  material/resources, Difficulty in searching books","Satisfied"
"3rd","CSE","Central","Rarely","Borrowing books","Both mid term and final exams","No fixed time","In the library","Alone","Very helpful","Good","8.0 – 9.0","Limited availability of books","Neutral"
"3rd","CSE","Digital","2-3 times a week","Self-study","Both mid term and final exams","Evening","In the library","Both, depending on situation","Somewhat helpful","Good","8.0 – 9.0","Outdated  material/resources","Satisfied"
"3rd","CSE","Digital","2-3 times a week","Self-study","Both mid term and final exams","No fixed time","In the library","Both, depending on situation","Somewhat helpful","Good","8.0 – 9.0","No difficulty","Satisfied"
"3rd","CSE","Digital","2-3 times a week","Self-study","Both mid term and final exams","Evening","No fixed preference","Alone","Very helpful","Good","7.0 – 8.0","Lack of seating space","Satisfied"
"3rd","CSE","Digital","Rarely","Self-study","During final exams","No fixed time","In my hostel/room","Alone","Somewhat helpful","Average","8.0 – 9.0","No difficulty","Neutral"
"3rd","CSE","Digital","2-3 times a week","Self-study","Regular semester days","Afternoon","In the library","Alone","Very helpful","Excellent","7.0 – 8.0","Difficulty in searching books, Poor network access","Satisfied"
"3rd","CSE","Digital","2-3 times a week","Reading academic materials","During mid-term exams","Evening","No fixed preference","Both, depending on situation","Not helpful","Good","9.0 – 10.0","Poor network access","Satisfied"
"3rd","CSE","Digital","Rarely","Group study/discussion","Regular semester days","Afternoon","In my hostel/room","With friends/group","Very helpful","Excellent","8.0 – 9.0","Lack of seating space","Satisfied"
"3rd","ECE","Digital","Rarely","Self-study","Regular semester days","Afternoon","In the library","Both, depending on situation","Somewhat helpful","Good","8.0 – 9.0","Limited availability of books","Neutral"
"3rd","ECE","Central","2-3 times a week","Self-study","Regular semester days","Afternoon","No fixed preference","Both, depending on situation","Somewhat helpful","Average","8.0 – 9.0","Lack of seating space","Neutral"
"3rd","CSE","Digital","Rarely","Self-study","Regular semester days","Evening","In my hostel/room","Alone","I don’t use library books","Good","7.0 – 8.0","Lack of seating space, Difficulty in searching books","Neutral"
"3rd","CSE","Central","Rarely","Self-study","During mid-term exams","No fixed time","In my hostel/room","Alone","Not helpful","Average","7.0 – 8.0","Limited availability of books, Outdated  material/resources, Difficulty in searching books, Poor network access","Very dissatisfied"
"3rd","Chemical Engineering","Digital","Rarely","Borrowing books","Both mid term and final exams","No fixed time","In my hostel/room","Both, depending on situation","Very helpful","Good","7.0 – 8.0","No difficulty","Satisfied"
"3rd","CSE","Digital","Rarely","Borrowing books","During mid-term exams","No fixed time","No fixed preference","Both, depending on situation","Somewhat helpful","Good","8.0 – 9.0","Difficulty in searching books","Satisfied"
"3rd","CSE","Digital","Daily","Self-study","Both mid term and final exams","No fixed time","In the library","Both, depending on situation","I don’t use library books","Excellent","8.0 – 9.0","Poor network access","Very satisfied"
"3rd","CSE","Digital","Rarely","Self-study","During final exams","Afternoon","In my hostel/room","With friends/group","Somewhat helpful","Good","8.0 – 9.0","Limited availability of books","Neutral"
"3rd","ECE","Digital","Rarely","Group study/discussion","Regular semester days","Evening","In my hostel/room","Both, depending on situation","I don’t use library books","Average","8.0 – 9.0","Poor network access","Dissatisfied"
"3rd","CSE","Digital","Rarely","Internet/Computer access","Regular semester days","Morning","In my hostel/room","Both, depending on situation","Somewhat helpful","Good","9.0 – 10.0","Limited availability of books, Outdated  material/resources, Difficulty in searching books","Satisfied"
"3rd","CSE","Digital","Rarely","Reading academic materials","During mid-term exams","Evening","In my hostel/room","With friends/group","Very helpful","Excellent","7.0 – 8.0","No difficulty","Satisfied"
"3rd","CSE","Central","2-3 times a week","Self-study","Both mid term and final exams","No fixed time","In the library","Alone","I don’t use library books","Good","9.0 – 10.0","Lack of seating space","Satisfied"
"3rd","DS","Digital","Rarely","Internet/Computer access","Both mid term and final exams","No fixed time","No fixed preference","Both, depending on situation","Not helpful","Poor","8.0 – 9.0","Limited availability of books, Lack of seating space, Outdated  material/resources, Difficulty in searching books, Poor network access, No difficulty","Very dissatisfied"
"3rd","CSE","Digital","Rarely","Self-study","Both mid term and final exams","No fixed time","In my hostel/room","Alone","I don’t use library books","Average","7.0 – 8.0","Limited availability of books, Outdated  material/resources, Difficulty in searching books","Neutral"
"3rd","CSE","Digital","Rarely","Self-study","Regular semester days","Afternoon","No fixed preference","Both, depending on situation","I don’t use library books","Good","7.0 – 8.0","Lack of seating space","Satisfied"
"1st","VLSI","Central","Never","Group study/discussion","Regular semester days","Afternoon","In classrooms/other study spaces","Alone","Not helpful","Poor","Below 6.0","Poor network access","Very dissatisfied"
"3rd","CSE","Central","Rarely","Borrowing books","Both mid term and final exams","No fixed time","In my hostel/room","Alone","Somewhat helpful","Average","7.0 – 8.0","Limited availability of books, Lack of seating space, Outdated  material/resources, Difficulty in searching books","Neutral"
"3rd","CSE","Digital","Rarely","Group study/discussion","Regular semester days","Afternoon","In my hostel/room","Both, depending on situation","Somewhat helpful","Good","8.0 – 9.0","Lack of seating space","Satisfied"
"3rd","CSE","Digital","Rarely","Self-study","Both mid term and final exams","Evening","In my hostel/room","Alone","Somewhat helpful","Excellent","8.0 – 9.0","Lack of seating space","Satisfied"
"3rd","CSE","Digital","Rarely","Reading academic materials","Regular semester days","No fixed time","In my hostel/room","Alone","Somewhat helpful","Good","8.0 – 9.0","Lack of seating space","Satisfied"
"3rd","CSE","Digital","Rarely","Self-study","Regular semester days","Evening","In my hostel/room","Alone","I don’t use library books","Good","8.0 – 9.0","Limited availability of books, Lack of seating space, Poor network access","Neutral"
"3rd","CSE","Digital","Once a week","Self-study","Both mid term and final exams","Evening","In my hostel/room","Alone","Somewhat helpful","Excellent","7.0 – 8.0","Limited availability of books","Satisfied"
"3rd","CSE","Central","Daily","Reading academic materials","Regular semester days","No fixed time","No fixed preference","Both, depending on situation","I don’t use library books","Good","8.0 – 9.0","Lack of seating space","Dissatisfied"
"3rd","CSE","Digital","Rarely","Self-study","Both mid term and final exams","No fixed time","In the library","Alone","Not helpful","Average","7.0 – 8.0","Limited availability of books, Outdated  material/resources, Poor network access","Dissatisfied"
"1st","CSE","Digital","Never","Group study/discussion","During final exams","No fixed time","In my hostel/room","With friends/group","Not helpful","Average","Below 6.0","Limited availability of books, Poor network access","Very satisfied"
"3rd","CSE","Digital","2-3 times a week","Reading academic materials","Both mid term and final exams","Evening","In the library","Both, depending on situation","Very helpful","Excellent","7.0 – 8.0","Lack of seating space","Neutral"
"3rd","CSE","Digital","2-3 times a week","Self-study","Both mid term and final exams","Afternoon","In the library","Both, depending on situation","I don’t use library books","Good","6.0 – 7.0","Lack of seating space, Outdated  material/resources","Neutral"
"3rd","CSE","Central","Never","Internet/Computer access","During final exams","Morning","In my hostel/room","Alone","Not helpful","Poor","8.0 – 9.0","No difficulty","Very dissatisfied"
"1st","1st","Digital","Never","Internet/Computer access","During final exams","No fixed time","In classrooms/other study spaces","Both, depending on situation","I don’t use library books","Average","9.0 – 10.0","Lack of seating space","Neutral"
"3rd","CSE","Digital","2-3 times a week","Self-study","During mid-term exams","Evening","In the library","Alone","Somewhat helpful","Good","7.0 – 8.0","Lack of seating space","Neutral"
"3rd","BT","Digital","Never","Internet/Computer access","During final exams","No fixed time","No fixed preference","Both, depending on situation","I don’t use library books","Poor","6.0 – 7.0","No difficulty","Very dissatisfied"
"2nd","CSE","Central","Daily","Self-study","Regular semester days","Evening","In the library","Alone","Very helpful","Excellent","8.0 – 9.0","No difficulty","Satisfied"
"2nd","VLSI","Central","Once a week","Borrowing books","During final exams","Afternoon","In classrooms/other study spaces","With friends/group","Somewhat helpful","Good","7.0 – 8.0","Difficulty in searching books","Neutral"
"2nd","Textile Engineering","Central","2-3 times a week","Group study/discussion","Both mid term and final exams","Afternoon","In classrooms/other study spaces","With friends/group","Very helpful","Average","8.0 – 9.0","Outdated  material/resources","Satisfied"
"3rd","CSE","Digital","2-3 times a week","Self-study","During mid-term exams","Morning","In my hostel/room","With friends/group","Somewhat helpful","Excellent","7.0 – 8.0","Limited availability of books","Satisfied"
"2nd","Chemical Engineering","Central","Once a week","Reading academic materials","During mid-term exams","No fixed time","In my hostel/room","With friends/group","Somewhat helpful","Average","9.0 – 10.0","Difficulty in searching books","Dissatisfied"
